Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Squat (Smith Machine)",1,25.0,12,0,0,"","",
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Squat (Smith Machine)",2,25.0,12,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Squat (Smith Machine)",3,35.0,12,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Squat (Smith Machine)",4,35.0,12,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Goblet Squat (Kettlebell)",1,45.0,15,0,0,"",,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Goblet Squat (Kettlebell)",2,45.0,15,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Goblet Squat (Kettlebell)",3,45.0,15,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Goblet Squat (Kettlebell)",4,45.0,15,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Leg Extension (Machine)",1,25.0,12,0,0,"",,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Leg Extension (Machine)",2,25.0,12,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Leg Extension (Machine)",3,35.0,10,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Leg Extension (Machine)",4,35.0,10,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Leg Extension (Machine)",5,45.0,8,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Leg Extension (Machine)",6,45.0,8,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Lunge (Dumbbell)",1,8.0,10,0,0,"Walking ",,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Lunge (Dumbbell)",2,8.0,10,0,0,,,
2024-11-01 15:57:34,"Quad Day 2",2h 56m,"Lunge (Dumbbell)",3,8.0,10,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Bench Press (Dumbbell)",1,15.0,12,0,0,"","",
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Bench Press (Dumbbell)",2,15.0,15,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Bench Press (Dumbbell)",3,15.0,15,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Bench Press (Dumbbell)",4,15.0,15,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Cable Crossover",1,20.0,10,0,0,"",,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Cable Crossover",2,15.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Cable Crossover",3,15.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Cable Crossover",4,15.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Incline Bench Press (Smith Machine)",1,20.0,15,0,0,"",,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Incline Bench Press (Smith Machine)",2,20.0,15,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Incline Bench Press (Smith Machine)",3,20.0,15,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Incline Bench Press (Smith Machine)",4,20.0,15,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Triceps Extension",1,10.0,10,0,0,"",,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Triceps Extension",2,5.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Triceps Extension",3,5.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Triceps Extension (Cable)",1,10.0,12,0,0,"",,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Triceps Extension (Cable)",2,10.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Triceps Extension (Cable)",3,10.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Triceps Pushdown (Cable - Straight Bar)",1,15.0,12,0,0,"",,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Triceps Pushdown (Cable - Straight Bar)",2,15.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Triceps Pushdown (Cable - Straight Bar)",3,15.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Chest Press (Machine)",1,25.0,12,0,0,"",,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Chest Press (Machine)",2,25.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Chest Press (Machine)",3,25.0,12,0,0,,,
2024-11-02 09:33:42,"Chest and Triceps ",46m,"Chest Press (Machine)",4,25.0,12,0,0,,,
2024-11-02 10:22:21,"Core",21m,"Cable Crunch",1,25.0,12,0,0,"","",
2024-11-02 10:22:21,"Core",21m,"Cable Crunch",2,30.0,15,0,0,,,
2024-11-02 10:22:21,"Core",21m,"Cable Crunch",3,30.0,15,0,0,,,
2024-11-02 10:22:21,"Core",21m,"Cable Twist",1,20.0,12,0,0,"",,
2024-11-02 10:22:21,"Core",21m,"Cable Twist",2,20.0,12,0,0,,,
2024-11-02 10:22:21,"Core",21m,"Cable Twist",3,20.0,12,0,0,,,
2024-11-02 10:22:21,"Core",21m,"Cross Body Crunch",1,0,12,0,0,"",,
2024-11-02 10:22:21,"Core",21m,"Cross Body Crunch",2,0,12,0,0,,,
2024-11-02 10:22:21,"Core",21m,"Cross Body Crunch",3,0,12,0,0,,,
